CityObject,Zone
<http://localhost/berlin/cityobject/UUID_bafb467e-d48a-4bd3-9ccc-f395408a5d32/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_cee3b7b5-ec45-4571-941f-18fabdc79956/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_a46514e7-4320-4af7-9bb9-86585dae2a27/>,WHITE
<http://localhost/berlin/cityobject/UUID_1061a945-a353-4736-b3b0-72199602a53b/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_32f58feb-b61e-427f-a9ad-14ccf27357de/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_24109bcd-18fa-4398-a6df-0b93cf10ce9e/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_0f80123c-5946-4ebd-9e53-8712147310f7/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_32291b0c-fe00-4d0c-b3c9-69633420634a/>,WHITE
<http://localhost/berlin/cityobject/UUID_4e2b4e21-89f0-4eef-ba22-e1d5a97c5bff/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_68280943-7ac7-4090-8e62-672e4058ed25/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_5ff09a45-3650-4fd9-b939-f4915149277d/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_f07cca78-d3a0-40e9-b13e-3b6da358db39/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_4081f98e-6ca5-498a-be3d-6310e62d6157/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_7c9ae11f-64c8-4178-8478-bdcc5c633b15/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_e5e214bc-b169-4c18-92e3-40a043214e17/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_755aa2ad-5551-4d2c-863f-3c2938e8b971/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_3186e704-d0d3-4d7d-b0df-01507555ecb1/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_d995cecd-e4f1-437c-8023-14d7636e84d6/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_912dcc92-9ecd-46e9-8685-cca718d21828/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_88c842d2-aca8-4c22-8f8d-0bf03e20202f/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_3c91aeba-bf4e-4ad0-a1a6-5c9c6cec460a/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_4ee69e0d-095d-4581-8585-5ff919bd12ef/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_1bead0bb-fa3e-4b80-91e8-3541690561e8/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_c69bad3c-f9c8-42d9-ac00-4b4ebb4ddf3f/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_de5b0815-1138-4e41-923a-b0f978c8e200/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_33372240-65c0-4a75-b320-34576710bbff/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_2405d29f-6753-4286-b6de-3dc6f0f4620f/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_cd0e36a6-d061-4612-816a-6b6880f8917b/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_e7f8af22-9b25-4bf5-a857-573f2a3f6891/>,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY
<http://localhost/berlin/cityobject/UUID_34b46438-1627-4c4f-8c59-f56e0e450d0e/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_a1964357-f246-45b7-81a7-3da0f191441b/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_7de22c11-ecf9-4bcb-a40f-b580120bee85/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_45fee757-4cf3-44d0-b7d4-8ffb9083cfa4/>,WHITE
<http://localhost/berlin/cityobject/UUID_7408438c-be37-47e6-8d1d-dbbb3bac6ad0/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_eefd67b4-77ff-4c98-9b9c-79e2a1c561ab/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_5b7183e5-8de1-40ef-9c22-857a4ff21139/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_bdb8a49e-ad7a-4184-a342-22df5b95cc13/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_a8f75a87-669f-40c9-985e-047bc7d98c66/>,WHITE
<http://localhost/berlin/cityobject/UUID_7a089ecb-b2a9-44aa-88b6-7d5a7c4ec22b/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_fb584b5d-2dcf-402b-81db-f18bc37d94df/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_019e6f32-f806-4e6f-8918-250c83ad6af1/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_85a794f9-58fd-4519-baf0-7fcd657098e8/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_266d37c5-6b91-4264-99c1-4fc18685ed42/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_64b22990-ac02-452e-bd78-bcc09b30e7ef/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_a92a63ee-d237-4d95-9e7b-fb02a69abcce/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_68862772-7bea-4d6b-b048-be7111d7e1f9/>,WHITE
<http://localhost/berlin/cityobject/UUID_01c73eed-ce9e-4193-a776-c32fbd9306e5/>,WHITE
